index,student,state,district_num,formatted_dist_num,abbrev,district,candidate,party,website,twitter_handle,incumbent,age,gender,marital_status,white_non_hispanic,hispanic,black,partisian_lean_pvi,opposed,pct_urban,income,region
688,patrick,California,24,24,CA,CA24,Justin Fareed,Republican,https://www.justinfareed.com,JustinFareed,F,30.0,M,Single,T,F,F,D+7,T,3,56943.0,W
689,patrick,California,49,49,CA,CA49,Diane Harkey,Republican,https://www.harkeyforcongress.com,diane_harkey,F,67.0,F,Married,T,F,F,R+1,T,42.2,67018.0,W
690,patrick,California,49,49,CA,CA49,Mike Levin,Democratic,https://mikelevin.org,MikeLevinCA,F,39.0,M,Married,T,F,F,R+1,T,42.2,67018.0,W
691,patrick,Delaware,at-large,0,DE,DE00,Lisa Blunt Rochester,Democratic,https://lisabluntrochester.com,LisaBRochester,T,56.0,F,Single,F,F,T,D+6,T,83.3,57357.0,S
692,patrick,Delaware,at-large,0,DE,DE00,Christopher Mockerman,Independent,https://www.facebook.com/CWMockerman4House/,,F,,M,,T,F,F,D+6,T,83.3,57357.0,S
693,patrick,Delaware,at-large,0,DE,DE00,Scott Walker,Republican,,,F,,M,,T,F,F,D+6,T,83.3,57357.0,S
694,patrick,Florida,7,7,FL,FL07,Mike Miller,Republican,https://www.millerforflorida.com,Mike_Miller_FL,F,50.0,M,Married,T,F,F,EVEN,T,97.87,51007.0,S
695,patrick,Florida,7,7,FL,FL07,Stephanie Murphy,Democratic,http://www.stephaniemurphyforcongress.com,SMurphyCongress,T,40.0,F,Married,F,F,F,EVEN,T,97.87,51007.0,S
696,patrick,Florida,15,15,FL,FL15,Kristen Carlson,Democratic,https://www.kristencarlsonforcongress.com,KristenForFL,F,,F,Single,T,F,F,R+6,T,92.06,47117.0,S
697,patrick,Florida,15,15,FL,FL15,Ross Spano,Republican,http://www.rossspano.com,RossSpano,F,52.0,M,Married,T,F,F,R+6,T,92.06,47117.0,S
